Symbol,Synonym Symbol,Scientific Name with Author,Common Name,Family
EURA14,EURAE2,Eubotrys racemosus (L.) Nutt. var. elongatus (Small) Fernald,,
EURA14,LEEL3,Leucothoe elongata Small,,
EURA14,LERA4,Leucothoe racemosa (L.) A. Gray,,
EURA14,LERAP,Leucothoe racemosa (L.) A. Gray var. projecta Fernald,,
EURA2,,Euphorbia radians Benth.,sun spurge,Euphorbiaceae
EURA2,PORA11,Poinsettia radians (Benth.) Klotzsch & Garcke,,
EURA3,,Euphrasia randii B.L. Rob.,small eyebright,Scrophulariaceae
EURA3,EUPU12,"Euphrasia purpurea Reeks, non Desf.",,
EURA3,EURAF,Euphrasia randii B.L. Rob. var. farlowii B.L. Rob.,,
EURA3,EURAR,Euphrasia randii B.L. Rob. var. reeksii Fernald,,
EURA4,,Eucalyptus raveretiana F. Muell.,black ironbox,Myrtaceae
EURA8,,Eucalyptus radiata Sieber ex DC.,narrow-leaf peppermint gum,Myrtaceae
EURE12,,Euphorbia resinifera Berg,resin spurge,Euphorbiaceae
EURE13,,Eucalyptus redunca Schauer,black marlock,Myrtaceae
EURE14,,Eucalyptus regnans F. Muell.,mountain-ash,Myrtaceae
EURE17,,Euphorbia reinwardtiana Steud.,,Euphorbiaceae
EURE18,,Eubotrys recurvus (Buckley) Britton,redtwig doghobble,Ericaceae
EURE18,EURE10,"Eubotrys recurva (Buckley) Britton, orth. var.",,
EURE18,LERE6,Leucothoe recurva (Buckley) A. Gray,,
EURE2,,Eucalyptus resinifera Sm.,redmahogany,Myrtaceae
EURE5,,Eustachys retusa (Lag.) Kunth,Argentine fingergrass,Poaceae
EURE5,CHAR10,Chloris argentina (Hack.) Lillo & Parodi,,
EURE7,,Eugenia reinwardtiana (Blume) DC.,mountain stopper,Myrtaceae
EURE8,,Eupatorium resinosum Torr. ex DC.,pine barren thoroughwort,Asteraceae
EURH,,Eugenia rhombea (Berg) Krug & Urb.,red stopper,Myrtaceae
EURH,EUFOR,Eugenia foetida Pers. var. rhombea Berg,,
EURHY2,,Eurhynchium Schimp.,eurhynchium moss,Brachytheciaceae
EURI10,,Euphorbia rigida M. Bieb.,upright myrtle spurge,Euphorbiaceae
EURI6,,Eucalyptus rigidula Maiden,,Myrtaceae
EURI7,,Eucalyptus risdonii Hook. f.,Risdon peppermint gum,Myrtaceae
EURI8,,Eucalyptus rigens Brooker & Hopper,eucalyptus,Myrtaceae
EURO10,,Euphrasia rostkoviana Hayne,eyebright,Scrophulariaceae
EURO12,,Eucalyptus robertsonii Blakely,narrow-leaf peppermint gum,Myrtaceae
EURO13,,Eucalyptus rossii R.T. Baker & H.G. Sm.,scribbly gum,Myrtaceae
EURO2,,Eucalyptus robusta Sm.,swampmahogany,Myrtaceae
EURO3,,Euphorbia rosescens E.L.Bridges & Orzell,scrub spurge,Euphorbiaceae
EURO4,,Eupatorium rotundifolium L.,roundleaf thoroughwort,Asteraceae
EURO7,,Euphorbia roemeriana Scheele,Roemer's spurge,Euphorbiaceae
EUROC,,Eupatorium rotundifolium L. var. cordigerum Fernald,roundleaf thoroughwort,Asteraceae
EUROC,EUCO19,Eupatorium cordigerum (Fernald) Fernald,,
EUROO,,Eupatorium rotundifolium L. var. ovatum (Bigelow) Torr.,roundleaf thoroughwort,Asteraceae
EUROO,EUPU11,Eupatorium pubescens Muhl. ex Willd.,,
EUROO,EUROO2,Eupatorium rotundifolium L. ssp. ovatum (Bigelow) J.D. Montgom. & Fairbrothers p.p.,,
EUROR,,Eupatorium rotundifolium L. var. rotundifolium,roundleaf thoroughwort,Asteraceae
EUROR,EUVE4,Eupatorium verbenifolium Reichard,,
EUROS,,Eupatorium rotundifolium L. var. scabridum (Elliott) A. Gray,roundleaf thoroughwort,Asteraceae
EUROS,EUSC2,Eupatorium scabridum Elliott,,
EURU2,,Eucalyptus rudis Endl.,Western Australian floodedgum,Myrtaceae
EURU5,,Eucnide rupestris (Baill.) H.J. Thomp. & Ernst,rock nettle,Loasaceae
EURU5,SYRU3,Sympetaleia rupestris (Baill.) A. Gray ex S. Watson,,
EURU8,,Eucalyptus rubida H. Deane & Maiden,candlebark,Myrtaceae
EURYA,,Eurya Thunb.,eurya,Theaceae
EURYA2,,Euryale Salisb.,euryale,Nymphaeaceae
EURYB,,Eurybia (Cass.) Cass.,aster,Asteraceae
EURYO,,Euryops (Cass.) Cass.,euryops,Asteraceae
EURYS2,,Eurystyles Wawra,custard orchid,Orchidaceae
EURYT,,Eurytaenia Torr. & A. Gray,spreadwing,Apiaceae
EUSA,,Eucalyptus saligna Sm.,Sydney bluegum,Myrtaceae
EUSA10,,Eucalyptus sargentii Maiden,eucalyptus,Myrtaceae
EUSA14,,Eugenia samoense Burkill,eugenia,Myrtaceae
EUSA15,,Eurybia saxicastellii (J.J.N. Campbell & M. Medley) G.L. Nesom,rockcastle aster,Asteraceae
EUSA15,ASSA9,Aster saxicastellii J.J.N. Campbell & M. Medley,,
EUSA17,,Eucalyptus salicifolia (Sol.) Cav.,black peppermint,Myrtaceae
EUSA17,EUAM81,Eucalyptus amygdalina Labill.,,
EUSA6,,Eurya sandwicensis A. Gray,anini,Theaceae
EUSA6,EUSAG,Eurya sandwicensis A. Gray var. grandifolia Wawra,,
EUSA8,,Eucalyptus salmonophloia F. Muell.,salmon gum,Myrtaceae
EUSA9,,Eucalyptus salubris F. Muell.,,Myrtaceae
EUSC4,,Eucalyptus sclerophylla (Blakely) L.A.S. Johnson & Blaxell,,Myrtaceae
EUSC5,,Eurybia schreberi (Nees) Nees,Schreber's aster,Asteraceae
EUSC5,ASCH11,Aster chasei G.N. Jones,,
EUSC5,ASCU12,Aster curvescens Burgess,,
EUSC5,ASGL11,Aster glomeratus (Bernh. ex Nees) Burgess,,
EUSC5,ASSC2,Aster schreberi Nees,,
EUSC5,EUGL9,Eurybia glomerata Bernh. ex Nees,,
EUSC6,,Euphorbia schizoloba Engelm.,Mojave spurge,Euphorbiaceae
EUSC6,EUIN2,Euphorbia incisa Engelm.,,
EUSC6,EUINI,Euphorbia incisa Engelm. var. incisa,,
EUSC6,EUINM,Euphorbia incisa Engelm. var. mollis (J.B.S. Norton) L.C. Wheeler,,
EUSC6,TIIN2,Tithymalus incisa (Engelm.) J.B.S. Norton,,
EUSC6,TIINM,Tithymalus incisa (Engelm.) J.B.S. Norton var. mollis J.B.S. Norton,,
EUSE,,Eupatorium semiserratum DC.,smallflower thoroughwort,Asteraceae
EUSE,EUCUS,Eupatorium cuneifolium Willd. var. semiserratum (DC.) Fernald & Grisc.,,
EUSE10,,Eugenia sessiliflora Vahl,sessileleaf stopper,Myrtaceae
EUSE12,,Euphorbia serrata L.,serrate spurge,Euphorbiaceae
EUSE13,,Eucalyptus sepulcralis F. Muell.,weeping gum,Myrtaceae
EUSE14,,Eucalyptus sessilis (Maiden) Blakely,,Myrtaceae
EUSE2,,Eupatorium serotinum Michx.,lateflowering thoroughwort,Asteraceae
EUSE3,,Eupatorium sessilifolium L.,upland boneset,Asteraceae
EUSE8,,Euphorbia segetalis L.,grainfield spurge,Euphorbiaceae
EUSE8,GAAU,Galarhoeus austrinus (Small) Small,,
EUSE8,TIAU,Tithymalus austrinus Small,,
EUSE9,,Eugenia serrasuela Krug & Urb.,serrasuela,Myrtaceae
EUSEB,,Eupatorium sessilifolium L. var. brittonianum Porter,upland boneset,Asteraceae
EUSES,,Eupatorium sessilifolium L. var. sessilifolium,upland boneset,Asteraceae
EUSEV,,Eupatorium sessilifolium L. var. vaseyi (Porter) Fernald & Grisc.,upland boneset,Asteraceae
EUSEV,EUALM,Eupatorium album L. var. monardifolium Fernald,,
EUSEV,EUALV,Eupatorium album L. var. vaseyi (Porter) Cronquist,,
EUSEV,EUVA2,Eupatorium vaseyi Porter,,
EUSI10,,Eucalyptus sieberi L.A.S. Johnson,silvertop-ash,Myrtaceae
EUSI10,EUSI11,Eucalyptus sieberiana auct.,,
EUSI13,,Eurybia sibirica (L.) G.L. Nesom,arctic aster,Asteraceae
EUSI13,ASSI,Aster sibiricus L.,,
EUSI13,ASSU27,Aster subintegerrimus (Trautv.) Ostenf. & Resvoll,,
EUSI2,,Eucalyptus sideroxylon A. Cunn. ex Woolls,red ironbark,Myrtaceae
EUSI2,EUSIR2,Eucalyptus sideroxylon A. Cunn. ex Woolls var. rosea Rehder,,
EUSI9,,Eucalyptus siderophloia Benth.,northern gray ironbark,Myrtaceae
EUSID,,Eusideroxylon Teijsm. & Binnend.,ironwood,Lauraceae
EUSM3,,Eucalyptus smithii R.T. Baker,Smith's eucalyptus,Myrtaceae
EUSO3,,Eupatorium sordidum Less. [excluded],,Asteraceae
EUSO3,BASO3,Bartlettina sordida (Less.) R.M. King & H. Rob.,,
EUSP,,Euphorbia spathulata Lam.,warty spurge,Euphorbiaceae
EUSP,EUAL5,Euphorbia alta J.B.S. Norton,,
EUSP,EUAR6,Euphorbia arkansana Engelm. & A. Gray,,
EUSP,EUDI6,Euphorbia dictyosperma Fisch. & C.A. Mey.,,
EUSP,EUOB3,Euphorbia obtusata Pursh,,
EUSP,GAAR8,Galarhoeus arkansanus (Engelm. & A. Gray) Small ex Rydb.,,
EUSP,GAOB2,Galarhoeus obtusatus (Pursh) Small,,
EUSP,TIAR3,Tithymalus arkansanus (Engelm. & A. Gray) Klotzsch & Garcke,,
EUSP,TIMI2,Tithymalus missouriensis (J.B.S. Norton) Small,,
EUSP,TIOB2,Tithymalus obtusatus (Pursh) Klotzsch & Garcke,,
EUSP,TISP,Tithymalus spathulatus (Lam.) W.A. Weber,,
EUSP3,,Eurybia spectabilis (Aiton) G.L. Nesom,eastern showy aster,Asteraceae
EUSP3,ASCO26,Aster commixtus (Nees) Kuntze,,
EUSP3,ASSM,Aster smallii Alexander,,
EUSP3,ASSP11,Aster spectabilis Aiton,,
EUSP3,ASSPC,Aster spectabilis Aiton var. cinerascens S.F. Blake,,
EUSP3,ASSPS2,Aster spectabilis Aiton var. suffultus Fernald,,
EUSP3,EUCO20,Eurybia commixta Nees,,
EUSP4,,Eurybia spinulosa (Chapm.) G.L. Nesom,Apalachicola aster,Asteraceae
EUSP4,ASSP12,Aster spinulosus Chapm.,,
EUSP5,,Euchiton sphaericus (Willd.) Anderb.,tropical creeping cudweed,Asteraceae
EUSP6,,Eucalyptus spathulata Hook.,eucalyptus,Myrtaceae
EUSPG2,,Eucalyptus spathulata Hook. ssp. grandiflora (Benth.) L.A.S. Johnson & Blaxell,,Myrtaceae
EUSPS,,Eucalyptus spathulata Hook. ssp. spathulata,eucalyptus,Myrtaceae
EUST12,,Eucalyptus steedmanii C.A. Gardner,,Myrtaceae
EUST13,,Eucalyptus stellulata Sieber ex DC.,,Myrtaceae
EUST14,,Eucalyptus stenostoma L.A.S. Johnson & Blaxell,,Myrtaceae
EUST15,,Eucalyptus stoatei C.A. Gardner,,Myrtaceae
EUST17,,Eucalyptus stowardii Maiden,,Myrtaceae
EUST18,,Eucalyptus striaticalyx W. Fitzg.,,Myrtaceae
EUST19,,Eucalyptus stricklandii Maiden,,Myrtaceae
EUST2,,Eutrochium steelei (E.E. Lamont) E.E. Lamont,Steele's eupatorium,Asteraceae
EUST2,EUST11,Eupatorium steelei E.E. Lamont,,
EUST2,EUST22,Eupatoriadelphus steelei (E.E. Lamont) G.J. Schmidt & E.E. Schill.,,
EUST20,,Eucalyptus stricta Sieber ex Spreng.,,Myrtaceae
EUST23,,Euphorbia stricta L.,upright spurge,Euphorbiaceae
EUST23,EUSE16,Euphorbia serrulata Thuill.,,
EUST3,,Eugenia stahlii (Kiaersk.) Krug & Urb.,Stahl's stopper,Myrtaceae
EUST5,,Euphorbia strictior Holz.,panhandle spurge,Euphorbiaceae
EUST5,TIST,Tithymalopsis strictior (Holz.) Wooton & Standl.,,
EUST6,,Eugenia stewardsonii Britton,Stewardson's stopper,Myrtaceae
EUST7,,Euphrasia stricta D. Wolff ex J.F. Lehm.,drug eyebright,Scrophulariaceae
EUST7,EUBR14,Euphrasia brevipila Burn. & Gremli ex Gremli,,
EUST7,EUCO25,Euphrasia condensata Jord.,,
EUST7,EURI3,Euphrasia rigidula Jord.,,
EUSTA,,Eustachys Desv.,fingergrass,Poaceae
EUSTO,,Eustoma Salisb. ex G. Don,prairie gentian,Gentianaceae
EUSU2,,Euphrasia subarctica Raup,arctic eyebright,Scrophulariaceae
EUSU2,EUARD2,Euphrasia arctica Lange ex Rostr. var. dolosa (B. Boivin) B. Boivin,,
EUSU2,EUARD4,Euphrasia arctica Lange ex Rostr. var. disjuncta sensu (Fernald & Wiegand) Cronquist,,
EUSU2,EUDID,Euphrasia disjuncta Fernald & Wiegand var. dolosa B. Boivin,,
EUSU2,EUPE16,Euphrasia pennellii Callen p.p.,,
EUSU3,,Euphrasia suborbicularis P.D. Sell & Yeo,roundleaf eyebright,Scrophulariaceae
EUSU3,EUMOL2,Euphrasia mollis (Ledeb.) Wettst. var. laurentiana B. Boivin,,
EUSU7,,Eurybia surculosa (Michx.) G.L. Nesom,creeping aster,Asteraceae
EUSU7,ASSU9,Aster surculosus Michx.,,
EUSY,,Euclidium syriacum (L.) W.T. Aiton,Syrian mustard,Brassicaceae
EUTE,,Eucalyptus tereticornis Sm.,forest redgum,Myrtaceae
EUTE,EUUM,Eucalyptus umbellatus Gaertn.,,
EUTE10,,Euphorbia terracina L.,Geraldton carnation weed,Euphorbiaceae
EUTE11,,Eucalyptus tenuipes (Maiden & Blakely) Blakely & C.T. White,,Myrtaceae
EUTE12,,Eucalyptus tenuiramis Miq.,,Myrtaceae
EUTE14,,Eucalyptus tetragona (R. Br.) F. Muell.,tallerack,Myrtaceae
EUTE15,,Eucalyptus tetraptera Turcz.,,Myrtaceae
EUTE16,,Euphorbia texana (Millsp. ex A. Heller) Boiss.,Texas spurge,Euphorbiaceae
EUTE16,TITE4,Tithymalus texanus Millsp. ex A. Heller,,
EUTE4,,Euphorbia tetrapora Engelm.,weak spurge,Euphorbiaceae
EUTE4,TITE5,Tithymalus tetraporus (Engelm.) Small,,
EUTE5,,Eurytaenia texana Torr. & A. Gray,Texas spreadwing,Apiaceae
EUTE6,,Euphorbia telephioides Chapm.,telephus spurge,Euphorbiaceae
EUTE6,GATE7,Galarhoeus telephioides (Chapm.) Small,,
EUTE8,,Euphrasia tetraquetra (BrÃ©biss.) Arrond.,maritime eyebright,Scrophulariaceae
EUTE8,EUCA27,Euphrasia canadensis Townsend,,
EUTER2,,Euterpe Mart.,palm,Arecaceae
EUTH3,,Eucalyptus thozetiana F. Muell. ex R.T. Baker,,Myrtaceae
EUTHA,,Euthamia Nutt. ex Cass.,goldentop,Asteraceae
EUTI,,Euphorbia tirucalli L.,Indiantree spurge,Euphorbiaceae
EUTO11,,Eucalyptus torquata Luehm.,coral gum,Myrtaceae
EUTO4,,Eucephalus tomentellus (Greene) Greene,rayless aster,Asteraceae
EUTO4,ASTO4,"Aster tomentellus (Greene) Frye & Rigg, non Hook.",,
EUTO4,SETO5,Sericocarpus tomentellus Greene,,
EUTO9,,Eucalyptus todtiana F. Muell.,,Myrtaceae
EUTR11,,Eucalyptus triflora (Maiden) Blakely,,Myrtaceae
EUTR12,,Eucalyptus trivalvis Blakely,,Myrtaceae
EUTR3,,Euphorbia trichotoma Kunth,sanddune spurge,Euphorbiaceae
EUTR3,GATR9,Galarhoeus trichotomus (Kunth) Small,,
EUTR4,,Eupatorium triplinerve Vahl,yapana,Asteraceae
EUTR4,AYTR,Ayapana triplinervis (Vahl) R.M. King & H. Rob.,,
EUTR5,,Eupatorium Ã—truncatum Muhl. ex Willd. (pro sp.),thoroughwort,Asteraceae
EUTR5,EUCU5,Eupatorium cuneatum (Engelm. ex A. Gray) Engelm. ex Small,,
EUTR5,EUPEC2,Eupatorium perfoliatum L. var. cuneatum Engelm. ex A. Gray,,
EUTR5,EUPET,Eupatorium perfoliatum L. var. truncatum (Muhl. ex Willd.) A. Gray,,
EUTR5,EUPO11,Eupatorium Ã—polyneuron (F.J. Herm.) Wunderlin,,
EUTR5,EUREK3,Eupatorium resinosum Torr. ex DC. var. kentuckiense Fernald,,
EUTR5,EUSEP,Eupatorium serotinum Michx. var. polyneuron F.J. Herm.,,
EUTR8,,Eucalyptus Ã—trabutii M. Vilm.,,Myrtaceae
EUTR9,,Eucalyptus transcontinentalis Maiden,redwood,Myrtaceae
EUTRE,,Eutrema R. Br.,eutrema,Brassicaceae
EUTRO,,Eutrochium Raf.,joe pye weed,Asteraceae
EUTRO,EUPAT3,Eupatoriadelphus R.M. King & H. Rob.,,
EUUL,,Eustachys uliginosa (Hack.) Herter,,Poaceae
EUUL,CHUL2,Chloris uliginosa Hack.,,
EUUM2,,Eucalyptus umbra R.T. Baker,,Myrtaceae
EUUN,,Eugenia underwoodii Britton,Underwood's stopper,Myrtaceae
EUUN2,,Eugenia uniflora L.,Surinam cherry,Myrtaceae
EUUN2,EUMI13,Eugenia michelii Lam.,,
EUUN3,,Eucalyptus uncinata Turcz.,hook-leaf mallee,Myrtaceae
EUUR,,Eucnide urens (Parry ex A. Gray) Parry,desert stingbush,Loasaceae
EUUR5,,Eucalyptus urnigera Hook. f.,urn gum,Myrtaceae
EUUT,,Eugeissona utilis Becc.,kadjatoa,Arecaceae
EUVA5,,Euphorbia valida N.E. Br.,,Euphorbiaceae
EUVE6,,Eucladium verticillatum (Brid.) Bruch & Schimp.,eucladium moss,Pottiaceae
EUVE7,,Eucalyptus vernicosa Hook. f.,,Myrtaceae
EUVI,,Eucalyptus viminalis Labill.,manna gum,Myrtaceae
EUVI6,,Euphrasia vinacea P.D. Sell & Yeo,glacier eyebright,Scrophulariaceae
EUVI8,,Eucephalus vialis Bradshaw,wayside aster,Asteraceae
EUVI8,ASVI4,Aster vialis (Bradshaw) S.F. Blake,,
EUVI9,,Eucalyptus viridis R.T. Baker,,Myrtaceae
EUVI9,EUAC3,"Eucalyptus acacioides A. Cunn. ex Maiden, nom. illeg.",,
EUWA3,,Eucalyptus wandoo Blakely,wandoo,Myrtaceae
EUWA4,,Eurybia wasatchensis (M.E. Jones) G.L. Nesom,Wasatch aster,Asteraceae
EUWA4,ASGLW,Aster glaucus (Nutt.) Torr. & A. Gray var. wasatchensis M.E. Jones,,
EUWA4,ASWA,Aster wasatchensis (M.E. Jones) S.F. Blake,,
EUWE2,,Eucalyptus websteriana Maiden,,Myrtaceae
EUWO2,,Eugenia woodburyana Alain,Woodbury's stopper,Myrtaceae
EUWO3,,Eucalyptus woodwardii Maiden,lemon-flower gum,Myrtaceae
EUWO5,,Euphorbia woodii N.E. Br.,,Euphorbiaceae
EUWR2,,Euphorbia wrightii Torr. & A. Gray,Wright's spurge,Euphorbiaceae
EUXE,,Eugenia xerophytica Britton,aridland stopper,Myrtaceae
EUYA2,,Eucalyptus yalatensis Boomsma,,Myrtaceae
EUYO2,,Eucalyptus youmanii Blakely & McKie,,Myrtaceae
EUYO3,,Eucalyptus youngiana F. Muell.,,Myrtaceae
EUYO3,EUPYY2,Eucalyptus pyriformis Turcz. ssp. youngiana (F. Muell.) Boomsma,,
EVAL,,Evolvulus alsinoides (L.) L.,slender dwarf morning-glory,Convolvulaceae
EVALA2,,Evolvulus alsinoides (L.) L. var. angustifolius Torr.,slender dwarf morning-glory,Convolvulaceae
EVALA2,EVALA,Evolvulus alsinoides (L.) L. var. acapulcensis (Willd.) van Ooststr.,,
EVALA2,EVALG,Evolvulus alsinoides (L.) L. var. grisebachianus Meisn.,,
EVALA2,EVALH,Evolvulus alsinoides (L.) L. var. hirticaulis Torr.,,
EVALA2,EVALL,Evolvulus alsinoides (L.) L. var. linifolius (L.) Baker,,
EVALA2,EVLI,Evolvulus linifolius L.,,
EVALD,,Evolvulus alsinoides (L.) L. var. debilis (Kunth) van Ooststr.,slender dwarf morning-glory,Convolvulaceae
EVAR,,Evolvulus arizonicus A. Gray,wild dwarf morning-glory,Convolvulaceae
EVAR,EVARL,Evolvulus arizonicus A. Gray var. laetus (A. Gray) van Ooststr.,,
EVAR,EVLA,Evolvulus laetus A. Gray,,
EVAR3,,Evolvulus arenarius R.T. Harms,sand plain dwarf morning-glory,Convolvulaceae
EVAX,,Evax Gaertn.,pygmy cudweed,Asteraceae
EVCA,,Evax candida (Torr. & A. Gray) A. Gray,silver pygmycudweed,Asteraceae
EVCA,CACA61,Calymmandra candida Torr. & A. Gray,,
EVCA,DICA17,Diaperia candida (Torr. & A. Gray) Benth.,,
EVCA,FICA5,Filago candida (Torr. & A. Gray) Shinners,,
EVCA3,,Everniastrum catawbiense (Degel.) Hale ex Sipamn,Catawba everniastrum lichen,Parmeliaceae
EVCA3,CECA17,Cetrariastum catawbiense (Degel.) W.L. Culb. & C.F. Culb.,,
EVCA3,EVSO,Everniastrum sorocheilum (Vain.) Hale ex Sipman,,
EVCA3,PACA25,Parmelia catawbiensis (Degel.) Hale & M. Wirth,,
EVCA3,PASO8,Parmelia sorocheila Vain.,,
EVCO,,Evolvulus convolvuloides (Willd. ex Schult.) Stearn,bindweed dwarf morning-glory,Convolvulaceae
EVCO,EVGL,Evolvulus glaber Spreng.,,
EVDI,,Evernia divaricata (L.) Ach.,ring lichen,Parmeliaceae
EVERN2,,Evernia Ach.,ring lichen,Parmeliaceae
EVERN3,,Everniastrum Hale ex Sipman,everniastrum lichen,Parmeliaceae
EVERN4,,Everniicola D. Hawksw.,everniicola lichen,Uncertain Ascomycota Family
EVES,,Evernia esorediosa (MÃ¼ll. Arg.) Du Rietz,ring lichen,Parmeliaceae
EVFI,,Evolvulus filipes Mart.,Maryland dwarf morning-glory,Convolvulaceae
EVFL,,Everniicola flexispora D. Hawksw.,everniicola lichen,Uncertain Ascomycota Family
EVGL2,,Evolvulus glomeratus Nees & Mart.,Brazilian dwarf morning-glory,Convolvulaceae
EVGLG,,Evolvulus glomeratus Nees & Mart. ssp. grandiflorus (Parodi) van Ooststr.,Brazilian dwarf morning-glory,Convolvulaceae
EVGR,,Evolvulus grisebachii Peter,Grisebach's dwarf morning-glory,Convolvulaceae
EVGR,EVWR,Evolvulus wrightii House,,
EVME60,,Evernia mesomorpha Nyl.,ring lichen,Parmeliaceae
EVME60,EVTH,Evernia thamnodes (Flotow) Arnold,,
EVNU,,Evolvulus nuttallianus Schult.,shaggy dwarf morning-glory,Convolvulaceae
EVNU,EVAR2,"Evolvulus argenteus Pursh, non R. Br., nom. illeg.",,
EVNU,EVPI,Evolvulus pilosus Nutt.,,
EVNU2,,Evolvulus nummularius (L.) L.,agracejo rastrero,Convolvulaceae
EVNU2,CONU8,Convolvulus nummularius L.,,
EVOLV,,Evolvulus L.,dwarf morning-glory,Convolvulaceae
EVPE60,,Evernia perfragilis Llano,ring lichen,Parmeliaceae
EVPR,,Evax prolifera Nutt. ex DC.,bighead pygmycudweed,Asteraceae
EVPR,DIPR2,Diaperia prolifera (Nutt. ex DC.) Nutt.,,
EVPR,FINU,Filago nuttallii Shinners,,
EVPR,FIPR,"Filago prolifera (Nutt. ex DC.) Britton, non Pomel",,
EVPR2,,Evernia prunastri (L.) Ach.,ring lichen,Parmeliaceae
EVSE,,Evolvulus sericeus Sw.,silver dwarf morning-glory,Convolvulaceae
EVSEG,,Evolvulus sericeus Sw. var. glaberrimus B.L. Rob.,silver dwarf morning-glory,Convolvulaceae
EVSEG,EVMA,Evolvulus macilentus Small,,
EVSEG,EVSEA,Evolvulus sericeus Sw. var. averyi Ward,,
EVSES,,Evolvulus sericeus Sw. var. sericeus,silver dwarf morning-glory,Convolvulaceae
EVSES,EVSED,Evolvulus sericeus Sw. var. discolor (Benth.) A. Gray,,
EVSQ,,Evolvulus squamosus Britton,rockyplains dwarf morning-glory,Convolvulaceae
EVTE2,,Evolvulus tenuis Mart. ex Choisy [excluded],,Convolvulaceae
EVTEL2,,Evolvulus tenuis Mart. ex Choisy ssp. longifolius (Choisy) van Ooststr. [excluded],,Convolvulaceae
EVTET2,,Evolvulus tenuis Mart. ex Choisy ssp. tenuis Mart. ex Choisy [excluded],,Convolvulaceae
EVVE,,Evax verna Raf.,spring pygmycudweed,Asteraceae
EVVED,,Evax verna Raf. var. drummondii (Torr. & A. Gray) Kartesz & Gandhi,spring pygmycudweed,Asteraceae
EVVED,DIDR,Diaperia drummondii (Torr. & A. Gray) Benth.,,
EVVED,EVMUD,Evax multicaulis DC. var. drummondii (Torr. & A. Gray) A. Gray,,
EVVED,FIDR2,Filaginopsis drummondii Torr. & A. Gray,,
EVVED,FIVED,Filago verna (Raf.) Shinners var. drummondii (Torr. & A. Gray) Shinners,,
EVVEV,,Evax verna Raf. var. verna,spring pygmycudweed,Asteraceae
EVVEV,DIMU6,Diaperia multicaulis (DC.) Nutt.,,
EVVEV,EVMU,Evax multicaulis DC.,,
EVVEV,FIMU,Filaginopsis multicaulis (DC.) Torr. & A. Gray,,
EVVEV,FINI,Filago nivea Small,,
EVVEV,FIVE,Filago verna (Raf.) Shinners,,
EXAG,,Excoecaria agallocha L.,blinding tree,Euphorbiaceae
EXAGO,,Excoecaria agallocha L. var. orthostichalis MÃ¼ll. Arg.,,Euphorbiaceae
EXAX2,,Exomis axyrioides Fenzl ex Moq.,,Chenopodiaceae
EXCA,,Exostema caribaeum (Jacq.) Schult.,Caribbean princewood,Rubiaceae
EXCA,CICA14,Cinchona caribaea Jacq.,,
EXCOE,,Excoecaria L.,,Euphorbiaceae
EXEL,,Exostema ellipticum Griseb.,plateado,Rubiaceae
EXGA,,Exocarpos gaudichaudii A. DC.,hulumoa,Santalaceae
EXLU,,Exocarpos luteolus Forbes,leafy ballart,Santalaceae
EXME,,Exocarpos menziesii Stauffer,Menzies' ballart,Santalaceae
EXOCA,,Exocarpos Labill.,exocarpos,Santalaceae
EXOCH,,Exochorda Lindl.,pearlbrush,Rosaceae
EXOMI,,Exomis Fenzl ex Moq.,,Chenopodiaceae
EXOST,,Exostema (Pers.) Rich. ex Humb. & Bonpl.,exostema,Rubiaceae
EXOTH,,Exothea Macfad.,exothea,Sapindaceae
EXPA,,Exothea paniculata (Juss.) Radlk.,butterbough,Sapindaceae
EXPA,MEPA11,Melicocca paniculata Juss.,,
EXRA,,Exochorda racemosa (Lindl.) Rehder,common pearlbrush,Rosaceae
EXRA,EXGR,Exochorda grandiflora (Hook.) Lindl.,,
EXSA2,,Exostema sanctae-luciae (Kentish) Britton [excluded],,Rubiaceae
EYOR,,Eysenhardtia orthocarpa (A. Gray) S. Watson,Tahitian kidneywood,Fabaceae
EYOR,EYPO,Eysenhardtia polystachya auct. non (Ortega) Sarg.,,
EYSEN,,Eysenhardtia Kunth,kidneywood,Fabaceae
EYSP,,Eysenhardtia spinosa Engelm.,spiny kidneywood,Fabaceae
FAAL,,Faidherbia albida (Delile) A. Chev.,applering acacia,Fabaceae
FAAL,ACAL15,Acacia albida Delile,,
FABE3,,Fagraea berteroana A. Gray ex Benth.,,Loganiaceae
FABE3,FABE,"Fagraea berteriana A. Gray ex Benth., orth. var.",,
FABIA,,Fabiana Ruiz & Pav.,fabiana,Solanaceae
FABRO,,Fabronia Raddi,fabronia moss,Fabroniaceae
FACA2,,Fagonia californica Benth. [excluded],,Zygophyllaceae
FACEL,,Facelis Cass.,trampweed,Asteraceae
FACI2,,Fabronia ciliaris (Brid.) Brid.,fabronia moss,Fabroniaceae
FACIC,,Fabronia ciliaris (Brid.) Brid. var. ciliaris,fabronia moss,Fabroniaceae
FACIC,FACIB,Fabronia ciliaris (Brid.) Brid. var. bartramii (Grout) Grout,,
FACIC,FACIO,Fabronia ciliaris (Brid.) Brid. var. ovata (Grout) Grout,,
FACIC,FAGY,Fabronia gymnostoma Sull. & Lesq.,,
FACIC,FAIM2,Fabronia imperfecta Sharp,,
FACIC,FAIO,Fabronia iowensis Cav.,,
