COMMON_NAME,GENUS,SPECIESp,TreeSpecies
Palaquium karrak,Palaquium,karrak,PAKA
Pandanus odontoides,Pandanus,odontoides,PAOD2
"ongor, ertochet",Pandanus,palawensis,PAPA38
peet,Pandanus,patina,PAPA39
ongor,Pandanus,peliliuensis,PAPE
"alwan, kipal, taip",Pandanus,ponapensis,PAPO2
"deipw, jomineia",Pandanus,pulposus,PAPU18
pathaplip,Pandanus,rectangulatus,PARE2
fasa,Pandanus,reineckei,PARE19
magojokojok,Pandanus,rotundatus,PARO2
screwpine,Pandanus,spp.,PANDA
Tahitian screwpine,Pandanus,tectorius,PATE2
kiparenwel,Pandanus,tolotomensis,PATO6
mojel,Pandanus,trukensis,PATR
berrakelongor,Pandanus,variegatus,PAVA4
rauel,Pangium,edule,PAED4
"lonlin, lajokorer",Pandanus,obliquus,PAOB7
sea,Parinari,insularum,PAIN20
ais,Parinari,laurina,PALA5
Parinari,Parinari,spp.,PARIN
Parkia korom,Parkia,korom,PAKO5
kmekumer,Parkia,parvifoliola,PAPA2
paloverde,Parkinsonia,spp.,PARKI2
Texas paloverde,Parkinsonia,texana,PATE10
ngis,Pemphis,acidula,PEAC6
Pericopsis mooniana,Pericopsis,mooniana,PEMO13
olomea,Perrottetia,sandwicensis,PESA3
Phaleria nisidai,Phaleria,nisidai,PHNI11
Canary Island date palm,Phoenix,canariensis,PHCA13
date palm,Phoenix,spp.,PHOEN2
date palm,Phoenix,sylvestris,PHSY3
Chinese  photinia,Photinia,davidiana,PHDA5
forest mirrorplant,Coprosma,foliosa,COFO2
koi,Coprosma,kauensis,COKA
Oahu mirrorplant,Coprosma,longifolia,COLO4
alpine mirrorplant,Coprosma,montana,COMO3
Maui mirrorplant,Coprosma,ochracea,COOC3
pubescent mirrorplant,Coprosma,pubens,COPU8
woodland mirrorplant,Coprosma,rhynchocarpa,CORH
mirrorplant,Coprosma,spp.,COPRO
olena,Coprosma,waimeae,COWA4
Tou,Cordia,aspera,COAS6
fragrant manjack,Cordia,dichotoma,CODI18
Cordia micronesica,Cordia,micronesica,COMI6
cordia,Cordia,spp.,CORDI
kou,Cordia,subcordata,COSU2
tiplant,Cordyline,fruticosa,COFR2
cordyline,Cordyline,spp.,CORDY2
redgum,Corymbia,calophylla,COCA48
redflower gum,Corymbia,ficifolia,COFI7
red bloodwood,Corymbia,gummifera,COGU4
karaka nut,Corynocarpus,laevigatus,COLA6
alaa,Pouteria,sandwicensis,POSA11
pouteria,Pouteria,spp.,POUTE
ahgao,Premna,obtusifolia,PROB
Premna pubescens,Premna,pubescens,PRPU5
aloalo,Premna,serratifolia,PRSE6
Premna,Premna,spp.,PREMN
corynocarpus,Corynocarpus,spp.,CORYN2
sacred garlic pear,Crateva,religiosa,CRRE12
Stansbury cliffrose,Purshia,stansburiana,PUST
"houka, calabash",Crescentia,alata,CRAL11
Arkansas oak,Quercus,arkansana,QUAR2
Saitamu,Crossostylis,biflora,CRBI9
longbeak rattlebox,Crotalaria,longirostrata,CRLO3
Cryptocarya oreophila,Cryptocarya,oreophila,CROR5
laulilii,Cryptocarya,elegans,CREL8
holio,Cryptocarya,mannii,CRMA8
Georgia oak,Quercus,georgiana,QUGE
cryptocarya,Cryptocarya,spp.,CRYPT2
laulilii,Cryptocarya,turbinata,CRTU4
Havard oak,Quercus,havardii,QUHA3
pamakani mahu,Phyllanthus,distichus,PHDI10
Pimenta,Pimenta,spp.,PIMEN
"chebouch, demailei",Pinanga,insignis,PIIN5
maritime pine,Pinus,pinaster,PIPI6
Japanese red pine,Pinus,densiflora,PIDE5
five-needle pine,Pinus,parviflora,PIPA12
Japansese Black pine,Pinus,thunbergii,PITH2
Waimea pipturus,Pipturus,albidus,PIAL2
soga,Pipturus,argenteus,PIAR8
pipturus,Pipturus,spp.,PIPTU
piscidia,Piscidia,spp.,PISCI
Australasian catchbirdtree,Pisonia,brunoniana,PIBR3
grand devils-claws,Pisonia,grandis,PIGR6
aulu,Pisonia,sandwicensis,PISA5
catchbirdtree,Pisonia,spp.,PISON
umbrella catchbirdtree,Pisonia,umbellifera,PIUM2
Kauai catchbirdtree,Pisonia,wagneriana,PIWA2
"Mona cheesewood, Pittosporum",Pittosporum,monae,PIMO4
Hawaii poisonberry tree,Pittosporum,argentifolium,PIAR4
hoawa,Pittosporum,confertiflorum,PICO4
Waianae Range cheesewood,Pittosporum,flocculosum,PIFL4
Waialeale cheesewood,Pittosporum,gayanum,PIGA2
Koolau Range cheesewood,Pittosporum,glabrum,PIGL4
hoawa,Pittosporum,halophilum,PIHA3
Hawaii cheesewood,Pittosporum,hawaiiense,PIHA4
Kona cheesewood,Pittosporum,hosmeri,PIHO
Kauai cheesewood,Pittosporum,kauaiense,PIKA3
Japanese cedar,Cryptomeria,spp.,CRYPT4
myrtle oak,Quercus,myrtifolia,QUMY
durmast oak,Quercus,petraea,QUPE2
English oak,Quercus,robur,QURO2
Haleakala cyanea,Cyanea,aculeatiflora,CYAC4
palmtree cyanea,Cyanea,arborea,CYAR10
Kauai cyanea,Cyanea,fissa,CYFI6
Degeners cyanea,Cyanea,floribunda,CYFL4
Kilauea Mauna cyanea,Cyanea,giffardii,CYGI5
wetforest cyanea,Cyanea,hamatiflora,CYHA6
Oahu cyanea,Cyanea,hardyi,CYHA7
prickly cyanea,Cyanea,horrida,CYHO6
Limahuli Valley cyanea,Cyanea,kuhihewa,CYKU3
Kunths cyanea,Cyanea,kunthiana,CYKU
giant kokee cyanea,Cyanea,leptostegia,CYLE5
purple cyanea,Cyanea,macrostegia,CYMA10
Marks cyanea,Cyanea,marksii,CYMA14
hairy cyanea,Cyanea,pilosa,CYPI4
pohaku cyanea,Cyanea,pohaku,CYPO5
Molokai cyanea,Cyanea,procera,CYPR8
manyfruit cyanea,Cyanea,pycnocarpa,CYPY
oakleaf cyanea,Cyanea,quercifolia,CYQU
plateau delissea,Cyanea,rivularis,CYRI4
pua kala,Cyanea,solenocalyx,CYSO2
cyanea,Cyanea,spp.,CYANE
Kaiholena cyanea,Cyanea,stictophylla,CYST5
Mt. Kaala cyanea,Cyanea,superba,CYSU8
aku aku,Cyanea,tritomantha,CYTR6
Coopers cyathea,Cyathea,cooperi,CYCO18
olioli,Cyathea,decurrens,CYDE16
olioli,Cyathea,lunulata,CYLU5
olioli,Cyathea,medullaris,CYME12
kattar,Cyathea,nigricans,CYNI7
kattar,Cyathea,ponapeana,CYPO11
treefern,Cyathea,spp.,CYATH
olioli,Cyathea,truncata,CYTR11
remiang,Cycas,revoluta,CYRE11
Cycas,Cycas,spp.,CYCAS
ola,Cyclophyllum,barbatum,CYBA7
gulos,Cynometra,ramiflora,CYRA8
tree-tomato,Cyphomandra,betacea,CYBE3
cyrtandra,Cyrtandra,pulchella,CYPU13
Cyrtandra,Cyrtandra,ramosissima,CYRA3
forest cyrtandra,Cyrtandra,giffardii,CYGI3
cyrtandra,Cyrtandra,spp.,CYRTA
royal cheesewood,Pittosporum,napaliense,PINA
Taiwanese cheesewood,Pittosporum,pentandrum,PIPE8
cheesewood,Pittosporum,spp.,PITTO
cream cheesewood,Pittosporum,terminalioides,PITE5
Australian cheesewood,Pittosporum,undulatum,PIUN2
cape cheesewood,Pittosporum,viridiflorum,PIVI5
alaa,Planchonella,garberi,PLGA2
alaa,Planchonella,grayana,PLGR11
alaa,Planchonella,linggensis,PLLI6
mamalava,Planchonella,samoensis,PLSA9
Planchonella,Planchonella,spp.,PLANC
mamalava,Planchonella,torricellensis,PLTO2
Hawaii pilo kea,Platydesma,remyi,PLRE4
Maui pilo kea,Platydesma,spathulata,PLSP3
platydesma,Platydesma,spp.,PLATY
London planetree,Platanus,hybrida,PLHY3
Oriental planetree,Platanus,orientalis,PLOR6
golden hala pepe,Pleomele,aurea,PLAU2
Maui hala pepe,Pleomele,auwahiensis,PLAU5
Lanai hala pepe,Pleomele,fernaldii,PLFE
Waianae Range hala pepe,Pleomele,forbesii,PLFO2
royal hala pepe,Pleomele,halapepe,PLHA3
Hawaii hala pepe,Pleomele,hawaiiensis,PLHA4
hala pepe,Pleomele,spp.,PLEOM
Plumeria,Plumeria,spp.,PLUME
yew plum pine,Podocarpus,macrophyllus,POMA32
bungaruau,Polyscias,grandifolia,POGR28
Polyscias macgillivrayi,Polyscias,macgillivrayi,POMA
bngei,Polyscias,nodosa,PONO10
tagitagi,Polyscias,samoensis,POSA27
shield aralia,Polyscias,scutellaria,POSC10
Polyscias,Polyscias,spp.,POLYS4
tava,Pometia,pinnata,POPI12
kattai,Ponapea,hosinoi,POHO
Ponapea ledermanniana,Ponapea,ledermanniana,POLE21
Ponapea,Ponapea,spp.,PONAP
kisaks,Pongamia,pinnata,POPI4
Abiu,Pouteria,caimito,POCA43
"elangel, chelangel",Pouteria,calcarea,POCA6
eggfruit,Pouteria,campechiana,POCA23
lalahag,Pouteria,obovata,POOB8
Hawaii delissea,Delissea,fallax,DEFA
cutleaf delissea,Delissea,laciniata,DELA4
Niihau delissea,Delissea,niihauensis,DENI
smallflower delissea,Delissea,parviflora,DEPA9
delissea,Delissea,spp.,DELIS
leechleaf delissea,Delissea,undulata,DEUN2
delonix,Delonix,spp.,DELON
salato,Dendrocnide,harveyi,DEHA5
kahtat,Dendrocnide,latifolia,DELA13
Dendrocnide,Dendrocnide,spp.,DENDR16
redpalm,Dictyosperma,album,DIAL13
shrubby dillenia,Dillenia,suffruticosa,DISU11
mabolo,Diospyros,blancoi,DIBL3
Mabolo,Diospyros,discolor,DIDI9
Black sapote,Diospyros,ebenaster,DIEB
anume,Diospyros,elliptica,DIEL3
Diospyros ferrea,Diospyros,ferrea,DIFE5
elama,Diospyros,hillebrandii,DIHI4
persimmon,Diospyros,kaki,DIKA2
auauli,Diospyros,samoensis,DISA16
lama,Diospyros,sandwicensis,DISA10
common buckthorn,Rhamnus,cathartica,RHCA3
otot,Discocalyx,ponapensis,DIPO
staghorn sumac,Rhus,typhina,RHTY
rru,Dolichandrone,spathacea,DOSP3
Dracaena multiflora,Dracaena,multiflora,DRMU2
kevert,Drypetes,nitida,DRNI3
Drypetes,Drypetes,spp.,DRYPE
none,Drypetes,vitiensis,DRVI5
Dubautia,Dubautia,demissifolia,DUDE
Dubautia,Dubautia,fallax,DUFA2
Dubautia,Dubautia,montana,DUMO2
Mauna Kea dubautia,Dubautia,arborea,DUAR
forest dubautia,Dubautia,knudsenii,DUKN
Kauai dubautia,Dubautia,microcephala,DUMI
plantainleaf dubautia,Dubautia,plantaginea,DUPL
Elaeagnus willow,Salix,elaeagnos,SAEL
netvein dubautia,Dubautia,reticulata,DURE2
dubautia,Dubautia,spp.,DUBAU
Geyer willow,Salix,geyeriana,SAGE2
red willow,Salix,laevigata,SALA3
Durian,Durio,zibethinus,DUZI
corkscrew willow,Salix,matsudana,SAMA13
maota mea,Dysoxylum,huntii,DYHU2
maota,Dysoxylum,maota,DYMA
mamala,Dysoxylum,samoense,DYSA
lignum-vitae,Guaiacum,officinale,GUOF
holywood,Guaiacum,sanctum,GUSA
Spanish cedar,Cedrela,odorata,CEOD
Chihuahuan pine,Pinus,leiophylla,PILE
stinkingtoe,Hymenaea,courbaril,HYCO
geranium aralia,Polyscias,guilfoylei,POGU
Callery pear,Pyrus,calleryana,PYCA80
common pear,Pyrus,communis,PYCO
Texas live oak,Quercus,fusiformis,QUFU
prairie sumac,Rhus,lanceolata,RHLA3
mescal bean,Sophora,secundiflora,SOSE3
Japanese maple,Acer,palmatum,ACPA2
holly,Ilex,spp.,ILEX
yaupon,Ilex,vomitoria,ILVO
goldenrain tree,Koelreuteria,paniculata,KOPA
Chinese elm,Ulmus,parvifolia,ULPA
farkleberry,Vaccinium,arboreum,VAAR
rusty blackhaw,Viburnum,rufidulum,VIRU
Chinese privet,Ligustrum,sinense,LISI
Japanese privet,Ligustrum,japonicum,LIJA
glossy privet,Ligustrum,lucidum,LILU2
Hercules' club,Zanthoxylum,clava-herculis,ZACL
paper mulberry,Broussonetia,papyrifera,BRPA4
cherry laurel,Prunus,laurocerasus,PRLA5
date palm,Phoenix,dactylifera,PHDA4
roughleaf dogwood,Cornus,drummondii,CODR
Chinese pistache,Pistacia,chinensis,PICH4
bastard oak,Quercus,sinuata,QUSI
Mexican sycamore,Platanus,mexicana,PLME9
hardy orange,Poncirus,trifoliata,POTR4
chimei,Psychotria,carolinensis,PSCA18
Kosrae elaeocarpus,Elaeocarpus,Kaneh,ELKU2
Psychotria cheathamiana,Psychotria,cheathamiana,PSCH4
sandalwood,Santalum,album,SAAL16
Ficus copiosa,Ficus,copiosa,FICO2
poison tree,Semecarpus,kraemeri,SEKR3
Glochidion kanehirae,Glochidion,kanehirae,GLKA
maras,Soulamea,amara,SOAM2
watery roseapple,Syzygium,aqueum,SYAQ
peach palm,Bactris,gasipaes,BAGA2
strand tree,Terminalia,litoralis,TELI7
ice cream bean,Inga,edulis,INED
kehn,Timonius,ledermanii,TILE4
tuhke duwehte kamal,Timonius,ponapensis,TIPO5
Anacolosa glochidiiformis,Anacolosa,glochidiiformis,ANGL5
Oriental mangrove,Bruguiera,gymnorhiza,BRGY3
weeping bottlebrush,Callistemon,viminalis,CAVI23
sayafe,Melochia,villosissima,MEVIV
Campnosperma brevipetiolata,Campnosperma,brevipetiolata,CABR42
Canarium vulgare,Canarium,vulgare,CAVU9
jaboticaba,Myrciaria,cauliflora,MYCA9
Myrsine palauensis,Myrsine,palauensis,MYPA7
pulasan,Nephelium,ramboutan-ake,NERA3
Ophiorrhiza palauensis,Ophiorrhiza,palauensis,OPPA4
palm tree,Clinostigma,carolinense,CLCA21
robusta coffee,Coffea,robusta,CORO8
croton,Croton,croton spp.,CROTO
kamal,Pittosporum,ferrugineum,PIFE3
eeme,Cynometra,yokotae,CYYO
Dalbergia retusa,Dalbergia,retusa,DARE6
cocobolo,Dalbergia,tucurensis,DATU
song of India,Dracaena,reflexa,DRRE6
